country,unit,date,recommendations,casemanagement,schools,events,carefacilities,publicoffices,retailgastro,stayathome,publicplaces,publictransport,mobilityint,universities,daycare
CH,SO,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-27,1,0,0,0,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-28,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-02-29,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-02,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-03,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-04,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-05,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-06,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-07,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-08,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-09,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-10,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-11,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-12,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SO,2020-03-13,1,1,0,3,0,0,1,0,0,0,1,0,0
CH,SO,2020-03-14,1,1,0,3,0,0,1,0,0,0,1,0,0
CH,SO,2020-03-15,1,1,0,3,0,0,1,0,0,0,1,0,1
CH,SO,2020-03-16,1,1,1,3,2,0,1,1,0,0,1,1,1
CH,SO,2020-03-17,1,1,1,3,2,1,2,1,1,0,1,1,1
CH,SO,2020-03-18,1,1,1,3,2,1,2,1,1,0,1,1,1
CH,SO,2020-03-19,1,1,1,3,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-20,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-21,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-22,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-23,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-24,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-25,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-26,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-27,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-28,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-29,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-30,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-03-31,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-04-01,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-04-02,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-04-03,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-04-04,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-04-05,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SO,2020-04-06,1,1,1,6,2,1,2,1,1,1,1,1,1
CH,SZ,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-27,1,0,0,0,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-28,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SZ,2020-02-29,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SZ,2020-03-01,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SZ,2020-03-02,1,0,0,1,0,0,0,0,0,0,0,0,0
CH,SZ,2020-03-03,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SZ,2020-03-04,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,SZ,2020-03-05,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-06,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-07,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-08,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-09,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-10,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-11,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-12,1,1,0,1,1,0,0,0,0,0,0,0,0
CH,SZ,2020-03-13,1,1,0,3,1,0,1,0,0,0,1,0,0
CH,SZ,2020-03-14,1,1,0,3,1,0,1,0,0,0,1,0,0
CH,SZ,2020-03-15,1,1,0,3,1,0,1,0,0,0,1,0,0
CH,SZ,2020-03-16,1,1,1,3,2,0,2,1,0,0,1,1,0
CH,SZ,2020-03-17,1,1,1,3,2,1,2,1,1,0,1,1,0
CH,SZ,2020-03-18,1,1,1,3,2,1,2,1,1,0,1,1,0
CH,SZ,2020-03-19,1,1,1,3,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-20,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-21,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-22,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-23,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-24,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-25,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-26,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-27,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-28,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-29,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-30,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-03-31,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-04-01,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-04-02,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-04-03,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-04-04,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-04-05,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,SZ,2020-04-06,1,1,1,6,2,1,2,1,1,1,1,1,0
CH,TG,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-24,1,1,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-25,1,1,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-26,1,1,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-28,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-02-29,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-02,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-03,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-04,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-05,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-06,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-07,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-08,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-09,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-10,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-11,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-12,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TG,2020-03-13,1,1,0,3,0,0,1,0,0,0,1,0,0
CH,TG,2020-03-14,1,1,0,3,0,0,1,0,0,0,1,0,0
CH,TG,2020-03-15,1,1,0,3,0,0,1,0,0,0,1,0,0
CH,TG,2020-03-16,1,1,1,3,0,0,1,1,0,0,1,1,0
CH,TG,2020-03-17,1,1,1,3,0,1,2,1,1,0,1,1,0
CH,TG,2020-03-18,1,1,1,3,0,1,2,1,1,0,1,1,0
CH,TG,2020-03-19,1,1,1,3,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-20,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-21,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-22,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-23,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-24,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-25,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-26,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-27,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-28,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-29,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-30,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-03-31,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-04-01,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-04-02,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-04-03,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-04-04,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-04-05,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TG,2020-04-06,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-08,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-09,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-10,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-11,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-12,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-13,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-14,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-15,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-16,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-17,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-18,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-19,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-20,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-21,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-22,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-23,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-24,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-25,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-26,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-28,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-02-29,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-02,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-03,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-04,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-05,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-06,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-07,1,1,0,3,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-08,1,1,0,3,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-09,1,1,0,3,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-10,1,1,0,3,0,0,0,0,0,0,0,0,0
CH,TI,2020-03-11,1,1,0,4,0,0,2,0,0,0,0,0,0
CH,TI,2020-03-12,1,1,0,4,0,0,2,0,0,0,0,1,0
CH,TI,2020-03-13,1,1,0,4,0,0,2,0,0,0,1,1,0
CH,TI,2020-03-14,1,1,0,4,0,0,2,0,0,0,1,1,0
CH,TI,2020-03-15,1,1,0,4,0,0,2,0,0,0,1,1,0
CH,TI,2020-03-16,1,1,1,4,0,0,2,1,0,0,1,1,0
CH,TI,2020-03-17,1,1,1,4,0,0,2,1,1,0,1,1,0
CH,TI,2020-03-18,1,1,1,6,0,0,2,1,1,0,1,1,0
CH,TI,2020-03-19,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-20,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-21,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-22,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-23,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-24,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-25,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-26,1,1,1,6,0,0,2,1,1,1,1,1,0
CH,TI,2020-03-27,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-03-28,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-03-29,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-03-30,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-03-31,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-04-01,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-04-02,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-04-03,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-04-04,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-04-05,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,TI,2020-04-06,1,1,1,6,0,1,2,1,1,1,1,1,0
CH,UR,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-26,0,1,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-27,1,1,0,0,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-28,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-02-29,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-02,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-03,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-04,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-05,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-06,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-07,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-08,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-09,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-10,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-11,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-12,1,1,0,1,0,0,0,0,0,0,0,0,0
CH,UR,2020-03-13,1,1,0,3,2,0,1,0,0,0,1,0,0
